Ano/Turmas,Disciplina,1Bim,2Bim,3Bim,4Bim
1A-1B-1C,Língua Portuguesa I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Educação Física I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Arte I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Espanhol I,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Inglês I,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Matemática I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Biologia I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Física I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Química I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,História I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Geografia I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Sociologia I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,Filosofia I  ,TRUE,TRUE,TRUE,TRUE
1A-1B-1C,História do Cinema Mundial  ,TRUE,TRUE,FALSE,FALSE
1A-1B-1C,Linguagem Audiovisual  ,TRUE,TRUE,FALSE,FALSE
1A-1B-1C,Práticas Profissionais I  ,TRUE,TRUE,FALSE,FALSE
1A-1B-1C,Audiovisual no Brasil  ,FALSE,FALSE,TRUE,TRUE
1A-1B-1C,Fundamentos do Áudio  ,FALSE,FALSE,TRUE,TRUE
1A-1B-1C,Práticas Profissionais II  ,FALSE,FALSE,TRUE,TRUE
2A-2B-2C,Língua Portuguesa II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Educação Física II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Arte II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Espanhol II,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Inglês II,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Matemática II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Biologia II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Física II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Química II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,História II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Geografia II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Filosofia II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Sociologia II  ,TRUE,TRUE,TRUE,TRUE
2A-2B-2C,Fotografia  ,TRUE,TRUE,FALSE,FALSE
2A-2B-2C,Desenho de Som  ,TRUE,TRUE,FALSE,FALSE
2A-2B-2C,Captação de Som Direto  ,TRUE,TRUE,FALSE,FALSE
2A-2B-2C,Práticas Profissionais III  ,TRUE,TRUE,FALSE,FALSE
2A-2B-2C,Equipagem e Manutenção  ,FALSE,FALSE,TRUE,TRUE
2A-2B-2C,Iluminação Básica  ,FALSE,FALSE,TRUE,TRUE
2A-2B-2C,Linguagens de Edição Audiovisual,FALSE,FALSE,TRUE,TRUE
2A-2B-2C,Práticas Profissionais IV  ,FALSE,FALSE,TRUE,TRUE
3A-3B-3C-3D,Língua Portuguesa III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Educação Física III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Arte III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Espanhol III,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Inglês III,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Matemática III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Biologia III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Física III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Química III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,História III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Geografia III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Sociologia III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Filosofia III  ,TRUE,TRUE,TRUE,TRUE
3A-3B-3C-3D,Ferramentas de edição  ,TRUE,TRUE,FALSE,FALSE
3A-3B-3C-3D,Produção Legislação e Ética no Audiovisual,TRUE,TRUE,FALSE,FALSE
3A-3B-3C-3D,Práticas Profissionais V  ,TRUE,TRUE,FALSE,FALSE
3A-3B-3C-3D,Finalização audiovisual  ,FALSE,FALSE,TRUE,TRUE
3A-3B-3C-3D,Acessibilidade Audiovisual  ,FALSE,FALSE,TRUE,TRUE
3A-3B-3C-3D,Edição de som e Mixagem  ,FALSE,FALSE,TRUE,TRUE
